Date,India,Mexico,US,India_act,Mexico_act,US_act,India_rolling,Mexico_rolling_7,US_rolling,Mexico_rolling
2/24/20,3,0,16,0,0,0,0,0,0.285714286,0
2/25/20,3,0,16,0,0,0,0,0,0.285714286,0
2/26/20,3,0,16,0,0,0,0,0,0.285714286,0
2/27/20,3,0,17,0,0,1,0,0,0.285714286,0
2/28/20,3,1,17,0,1,0,0,0,0.428571429,0
2/29/20,3,4,25,0,3,8,0,0.142857143,0.142857143,0.066666667
3/1/20,3,5,32,0,1,7,0,0.571428571,1.285714286,0.266666667
3/2/20,5,5,55,2,0,23,0.285714286,0.714285714,2.285714286,0.333333333
3/3/20,5,5,74,0,0,19,0.285714286,0.714285714,5.571428571,0.333333333
3/4/20,28,5,107,23,0,33,3.571428571,0.714285714,8.285714286,0.333333333
3/5/20,30,5,184,2,0,77,3.857142857,0.714285714,13,0.333333333
3/6/20,31,6,237,1,1,53,4,0.714285714,23.85714286,0.333333333
3/7/20,34,6,403,3,0,166,4.428571429,0.714285714,31.42857143,0.4
3/8/20,39,7,519,5,1,116,5.142857143,0.285714286,54,0.4
3/9/20,43,7,594,4,0,75,5.428571429,0.285714286,69.57142857,0.466666667
3/10/20,56,7,782,13,0,188,7.285714286,0.285714286,77,0.466666667
3/11/20,62,8,1147,6,1,365,4.857142857,0.285714286,101.1428571,0.466666667
3/12/20,73,12,1586,11,4,439,6.142857143,0.428571429,148.5714286,0.533333333
3/13/20,82,26,2219,9,14,633,7.285714286,1,200.2857143,0.8
3/14/20,102,41,2978,20,15,759,9.714285714,2.857142857,283.1428571,1.733333333
3/15/20,113,53,3212,11,12,234,10.57142857,5,367.8571429,2.666666667
3/16/20,119,82,4679,6,29,1467,10.85714286,6.571428571,384.7142857,3.266666667
3/17/20,142,93,6512,23,11,1833,12.28571429,10.71428571,583.5714286,5.133333333
3/18/20,156,118,9169,14,25,2657,13.42857143,12.28571429,818.5714286,5.866666667
3/19/20,194,164,13663,38,46,4494,17.28571429,15.71428571,1146,7.533333333
3/20/20,244,203,20030,50,39,6367,23.14285714,21.71428571,1725.285714,10.6
3/21/20,330,251,26025,86,48,5995,32.57142857,25.28571429,2544.428571,13.2
3/22/20,396,316,34944,66,65,8919,40.42857143,30,3292.428571,16.33333333
3/23/20,499,367,46096,103,51,11152,54.28571429,37.57142857,4533.142857,20.66666667
3/24/20,536,405,56714,37,38,10618,56.28571429,40.71428571,5916.714286,24
